HUC_12,Name,ImpervFrac,TreeCanopyPct,Population
010700050103,Lake Cochituate-Sudbury River,29.6744415926748,48.5848678213309,87882
010700050104,Hop Brook-Sudbury River,12.4315913185343,60.869583404341,32185
010700050204,Elizabeth Brook-Assabet River,10.7198824431383,64.1089356008954,26828
010700050205,River Meadow Brook,27.4782030903927,47.1748461437737,42519
010700050206,Mill Brook-Concord River,21.7309318359206,49.4500731648721,45600
010700061301,Upper Shawsheen River,33.5187073316467,43.9166284987277,37116
010700061302,Middle Shawsheen River,32.7718971263029,42.1526069423899,50414
010900010201,Upper Ipswich River,24.7692399140647,52.5697103918228,52622
010900010202,Middle Ipswich River,15.8911957261824,58.6104196694406,25696
010900010401,Headwaters Saugus River,38.7390027411565,40.8838055797733,41172
010900010402,Outlet Saugus River,58.1713368569213,21.9608503049131,323983
010900010501,Aberjona River,51.7675173494515,32.877029317421,82371
010900010502,Mystic River,59.9071451618686,26.7477328788626,323356
010900010602,Chicken Brook-Charles River,14.9992882076484,58.4109630526953,32419
010900010603,Bogastow Brook,13.2965508725716,59.5423959148375,20218
010900010604,Stop River-Charles River,10.5322297955209,62.5783325911081,24629
010900010701,Fuller Brook-Charles River,17.1203681072867,61.5344475631539,43785
010900010702,Stony Brook,17.3574736842105,59.0543879402014,14846
010900010703,Beaver Brook-Charles River,38.3285295785296,41.7976479499023,174012
010900010704,Outlet Charles River,64.3277241293377,21.0721428125585,697188
010900010801,Headwaters Neponset River,24.8080174242547,53.8328051676487,60305
010900010802,East Branch Neponset River,25.8260314652177,52.736742304532,46208
010900010803,Outlet Neponset River,37.6435286480248,41.0382994069562,167604
010900010901,Monatiquot River,42.5312315744266,38.5043448491868,163187
010900010902,Weir River,26.0753207769787,51.1945037955773,69590
010900010903,Hingham Bay-Frontal Quincy Bay,,,
010900011003,North River-Massachusetts Bay,,,
010900011005,Boston Harbor,,,
010900011006,Broad Sound-Massachusetts Bay,,,
010900011007,Nahant Bay-Massachusetts Bay,,,
010900011008,Martin Ledge-Massachusetts Bay,,,
010900011009,Quincy Bay,,,
010900011010,Strawberry Ledge-Massachusetts Bay,,,
010900011011,Aaron River-Cohasset Harbor,,,
010900020101,Headwaters Indian Head River,24.6794681527698,53.1537388562072,30697
010900020102,Indian Head River-North River,12.0617020800882,60.7918035840692,32083
010900040102,Matfield River,32.0833564482101,44.2892680834602,109276
